Code,Intervention name,UTM Zone,East,North,Elevation [m.a.s.l.],Contribution area [m2],Reservoir area [m2],Reservoir capacity [m3]
AYA1-2021-Q1,ISLAQOCHA,18 L,552610,8464108,4454,118.0396,184568.93,66776.39
AYA1-2021-Q2,TAQRAQOCHA,18 L,553301,8464658,4382,49.4434,60899.35,39918.54
AYA1-2021-Q3,QENWACUCHU,18 L,554722,8466106,4238,16.1447,181974.51,6563.8
AYA1-2021-Q4,QAULLAQOCHA,18 L,542996,8469182,4419,16.1116,65905.63,30303.29
AYA1-2021-Q5,QUINUAQOCHA,18 L,567986,8474218,3601,96.021122,27148.55,38710.17
AYA1-2021-Q6,TOTORABAMBA-1,18 L,566646,8475291,3662,275.546738,55263.74,20754.65
AYA1-2021-Q7,PILLIQOCHA,18 L,566217,8479128,3855,76.9838,19352.61,20799.43
AYA1-2021-Q8,PATAQOCHA 1,18 L,583355,8470794,4357,7.0399,27386.48,34945.06
AYA1-2021-Q9,PATAQOCHA 2,18 L,583599,8470926,4376,44.3602,66483.51,78679.23
AYA1-2021-Q10,QOCHAPARCO,18 L,583430,8471499,4363,8.8217,11277.83,8246.34
AYA1-2021-Q11,PUCAQOCHA,18 L,582988,8472144,4388,59.9123,11652.64,18779.6
AYA1-2021-Q12,MAURAMA,18 L,582512,8472830,4340,12.981,8440.31,8914.01
AYA1-2021-Q13,CONRUSPUCRU 1,18 L,582870,8472771,4395,22.4955,12254.93,10931.58
AYA1-2021-Q14,CONRUSPUCRU 2,18 L,583040,8473002,4397,26.5451,14251.67,18916.63
AYA1-2021-Q15,SOLLQUCHA QOCHA,18 L,582722,8473787,4352,22.0952,25468.98,18696.53
AYA1-2021-Q16,CHAMACCHALE,18 L,582343,8475514,4352,19.4177,34211.84,49222.45
AYA1-2021-Q17,CHAMPAQOCHA,18 L,582392,8475157,4336,53.5181,38642.87,60799.35
AYA1-2021-Q18,PARCCAQOCHA,18 L,582989,8474928,4257,21.003275,58986.32,50879.68
AYA1-2021-Q19,QEULLAQOCHA,18 L,584661,8473437,4356.5,2.0157,10298.25,5133.2
AYA2-2021-Q1,CHAQA CORRAL-1,18 L,591702.6,8456662.6,4423.5,39.99,11530,9408.31
AYA2-2021-Q2,CHAQA CORRAL-2,18 L,591717,8456860.9,4393,3.55,3079,7859.87
AYA2-2021-Q3,CHAQA CORRAL-3,18 L,591946.5,8456900,4399,18.5,9912,13729.72
AYA2-2021-Q4,QIWILLA QOCHA,18 L,591822.8,8457492.3,4389.5,17.03,24604,29687.24
AYA2-2021-Q5,PUCA QOCHA,18 L,591442.2,8458315.1,4378,20.13,26996,35520.46
AYA2-2021-Q6,OSCCO PATA-1,18 L,590416.3,8455728.3,4443.5,7.5,4251,9776.06
AYA2-2021-Q7,OSCCO PATA-2,18 L,590507.6,8455602.7,4441.5,15.62,6806,12746.03
AYA2-2021-Q8,TAQRA PATA,18 L,589460.7,8455841.6,4408.5,7.63,23196,23513.84
AYA2-2021-Q9,QENWA CUCHU-1,18 L,583639.8,8439593.1,4054,17.23,8129,6214.67
AYA2-2021-Q10,QENWA CUCHU-3,18 L,582817.2,8439183.8,4042,11.96,5323,14198.65
AYA3-2021-Q1,WAQRA PAMPA-1,18 L,585459.7,8471497.8,4265,4.43,2573,10072.52
AYA3-2021-Q2,WAQRA PAMPA-2,18 L,585937.9,8471242.7,4244,5.79,12025,16423.56
AYA3-2021-Q3,WAQRA PAMPA-3,18 L,586100.2,8471254,4240,2.98,7561,8646.08
AYA3-2021-Q4,WAQRA PAMPA-4,18 L,586246,8471450,4239,2.25,5246,6383.75
AYA3-2021-Q5,WAQRA PAMPA-6,18 L,586215.8,8471628.6,4236.5,7.14,3119,6389.75
AYA3-2021-Q6,WAQRA PAMPA-7,18 L,586104.2,8471595,4238,5.5,17982,16657.72
AYA3-2021-Q7,WAQRA PAMPA-8,18 L,585864.197,8471717.909,4246.5,6.26,8084,7695.37
